zscale-x,zscale-y,zscale-z,min_n,max_n,min_r,max_r,valid_gap,dist_sum,dtw_thv,speed
1.129907,1.073536,0,46,139,0.8,1.2,0.083362,7.672448,0.099366,0.018343417
1.182812,0.987681,0,,,,,,,,0.030830858
1.226032,0.88909,0,,,,,,,,0.042821218
1.258847,0.782403,0,,,,,,,,0.054090903
1.280739,0.671356,0,,,,,,,,0.064022553
1.291389,0.558563,0,,,,,,,,0.071493638
1.290689,0.445611,0,,,,,,,,0.075833258
1.278745,0.333378,0,,,,,,,,0.077576122
1.255851,0.222446,0,,,,,,,,0.077949454
1.222439,0.113463,0,,,,,,,,0.077695438
1.179006,0.007337,0,,,,,,,,0.076760836
1.126045,-0.094751,0,,,,,,,,0.075223566
1.064004,-0.191492,0,,,,,,,,0.07403519
0.993301,-0.281643,0,,,,,,,,0.074236288
0.914382,-0.364189,0,,,,,,,,0.075391819
0.827812,-0.43841,0,,,,,,,,0.075415875
0.734365,-0.503827,0,,,,,,,,0.072555227
0.635057,-0.560097,0,,,,,,,,0.067474307
0.531107,-0.606903,0,,,,,,,,0.062720791
0.423818,-0.643921,0,,,,,,,,0.059678828
0.314421,-0.670857,0,,,,,,,,0.056385333
0.203918,-0.687541,0,,,,,,,,0.049162702
0.093009,-0.694006,0,,,,,,,,0.036867533
-0.017887,-0.690487,0,,,,,,,,0.023298095
-0.128485,-0.677325,0,,,,,,,,0.014922977
-0.238434,-0.654811,0,,,,,,,,0.015961341
-0.347137,-0.623044,0,,,,,,,,0.02549075
-0.453655,-0.581921,0,,,,,,,,0.038891035
-0.556779,-0.531287,0,,,,,,,,0.051568345
-0.655234,-0.471228,0,,,,,,,,0.061364845
-0.747958,-0.402384,0,,,,,,,,0.06829478
-0.834324,-0.326107,0,,,,,,,,0.073017367
-0.914207,-0.244311,0,,,,,,,,0.075878948
-0.987828,-0.159,0,,,,,,,,0.076939151
-1.055401,-0.071568,0,,,,,,,,0.076350708
-1.116745,0.017833,0,,,,,,,,0.074611905
-1.171008,0.110548,0,,,,,,,,0.07263648
-1.216694,0.209036,0,,,,,,,,0.071561149
-1.252052,0.315814,0,,,,,,,,0.072157766
-1.27574,0.431961,0,,,,,,,,0.07414454
-1.287561,0.555648,0,,,,,,,,0.076130586
-1.288975,0.681263,0,,,,,,,,0.076543074
-1.283151,0.799576,0,,,,,,,,0.074816994
-1.274457,0.899082,0,,,,,,,,0.07159891
-1.267478,0.968275,0,,,,,,,,0.067590135
-1.265863,0.998241,0,,,,,,,,0.062190234
-1.271348,0.984807,0,,,,,,,,0.053576638
-1.283285,0.929578,0,,,,,,,,0.040525462
-1.298838,0.839544,0,,,,,,,,0.024401884
-1.313758,0.725358,0,,,,,,,,0.009327278
-1.323497,0.59884,0,,,,,,,,
-1.324279,0.470451,0,,,,,,,,
-1.313814,0.347462,0,,,,,,,,
-1.291476,0.233253,0,,,,,,,,
-1.257981,0.127792,0,,,,,,,,
-1.21475,0.02895,0,,,,,,,,
-1.163228,-0.065896,0,,,,,,,,
-1.104409,-0.158521,0,,,,,,,,
-1.038682,-0.24917,0,,,,,,,,
-0.965984,-0.336588,0,,,,,,,,
-0.886122,-0.418611,0,,,,,,,,
-0.799104,-0.492967,0,,,,,,,,
-0.705335,-0.557945,0,,,,,,,,
-0.605628,-0.61272,0,,,,,,,,
-0.501061,-0.657273,0,,,,,,,,
-0.392784,-0.692052,0,,,,,,,,
-0.281852,-0.717542,0,,,,,,,,
-0.16917,-0.733966,0,,,,,,,,
-0.055524,-0.741185,0,,,,,,,,
0.058323,-0.738816,0,,,,,,,,
0.17155,-0.726455,0,,,,,,,,
0.283251,-0.703895,0,,,,,,,,
0.39247,-0.671228,0,,,,,,,,
0.498276,-0.628819,0,,,,,,,,
0.59983,-0.577185,0,,,,,,,,
0.69641,-0.516861,0,,,,,,,,
0.787374,-0.448323,0,,,,,,,,
0.872095,-0.372004,0,,,,,,,,
0.949897,-0.288388,0,,,,,,,,
1.020037,-0.198104,0,,,,,,,,
1.08175,-0.101964,0,,,,,,,,
1.134342,-0.000905,0,,,,,,,,
1.177283,0.104153,0,,,,,,,,
1.210272,0.212454,0,,,,,,,,
1.233219,0.323476,0,,,,,,,,
1.246151,0.43684,0,,,,,,,,
1.249082,0.552038,0,,,,,,,,
1.241893,0.668042,0,,,,,,,,
1.224283,0.782903,0,,,,,,,,
1.195832,0.893493,0,,,,,,,,
1.15616,0.995509,0,,,,,,,,
1.105171,1.083815,0,,,,,,,,
