zscale-x,zscale-y,zscale-z,min_n,max_n,min_r,max_r,valid_gap,dist_sum,dtw_thv
1.55324,0.619872,0,151,452,0.8,1.2,0.011827,4.459582,0
1.545695,0.60062,0,,,,,,,
1.536797,0.58065,0,,,,,,,
1.526669,0.560088,0,,,,,,,
1.515433,0.539059,0,,,,,,,
1.503211,0.51768,0,,,,,,,
1.490123,0.496066,0,,,,,,,
1.476281,0.47432,0,,,,,,,
1.461795,0.452539,0,,,,,,,
1.446764,0.430808,0,,,,,,,
1.431281,0.409202,0,,,,,,,
1.415428,0.387785,0,,,,,,,
1.399279,0.366609,0,,,,,,,
1.382897,0.345714,0,,,,,,,
1.366332,0.325129,0,,,,,,,
1.349627,0.304873,0,,,,,,,
1.332813,0.284954,0,,,,,,,
1.315912,0.265372,0,,,,,,,
1.298934,0.24612,0,,,,,,,
1.281885,0.227183,0,,,,,,,
1.264759,0.208543,0,,,,,,,
1.247546,0.190177,0,,,,,,,
1.23023,0.172061,0,,,,,,,
1.212789,0.154172,0,,,,,,,
1.1952,0.136486,0,,,,,,,
1.177436,0.118982,0,,,,,,,
1.159468,0.101642,0,,,,,,,
1.141269,0.084452,0,,,,,,,
1.122811,0.067406,0,,,,,,,
1.104069,0.050499,0,,,,,,,
1.085019,0.033736,0,,,,,,,
1.065641,0.017126,0,,,,,,,
1.045918,0.000682,0,,,,,,,
1.025837,-0.015575,0,,,,,,,
1.00539,-0.031621,0,,,,,,,
0.984573,-0.047427,0,,,,,,,
0.963384,-0.062962,0,,,,,,,
0.941829,-0.078195,0,,,,,,,
0.919915,-0.09309,0,,,,,,,
0.897655,-0.107615,0,,,,,,,
0.875063,-0.121739,0,,,,,,,
0.852158,-0.135431,0,,,,,,,
0.828961,-0.148667,0,,,,,,,
0.805493,-0.161425,0,,,,,,,
0.781779,-0.173687,0,,,,,,,
0.757841,-0.185444,0,,,,,,,
0.733706,-0.196688,0,,,,,,,
0.709395,-0.207419,0,,,,,,,
0.684933,-0.217642,0,,,,,,,
0.66034,-0.227366,0,,,,,,,
0.635636,-0.236605,0,,,,,,,
0.610838,-0.245378,0,,,,,,,
0.58596,-0.253703,0,,,,,,,
0.561016,-0.261603,0,,,,,,,
0.536013,-0.2691,0,,,,,,,
0.510959,-0.276218,0,,,,,,,
0.485857,-0.282976,0,,,,,,,
0.460708,-0.289394,0,,,,,,,
0.435511,-0.295487,0,,,,,,,
0.410262,-0.301269,0,,,,,,,
0.384956,-0.306747,0,,,,,,,
